brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,engine_size,cylinders,hp,fi_type,turbo,trans_type,trans_speed,ext_base_color,ext_color_type,int_base_color
Ford,Utility Police Interceptor Base,2013,51000.0,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,1,1,10300.0,3.7,V6,300.0,NA,NA,Automatic,6.0,Black,Gloss,Black
Hyundai,Palisade SEL,2021,34742.0,Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Moonlight Cloud,Gray,1,1,38005.0,3.8,V6,300.0,GDI,NA,Automatic,8.0,Miscellaneous,Gloss,Gray
Lexus,RX 350 RX 350,2022,22372.0,Gasoline,3.5 Liter DOHC,Automatic,Blue,Black,0,0,54598.0,3.5,NA,310.0,NA,NA,Automatic,8.0,Blue,Gloss,Black
INFINITI,Q50 Hybrid Sport,2015,88900.0,Hybrid,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,Black,Black,0,1,15500.0,3.5,V6,354.0,NA,NA,Automatic,7.0,Black,Gloss,Black
Audi,Q3 45 S line Premium Plus,2021,9835.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Glacier White Metallic,Black,0,0,34999.0,2.0,I4,310.0,GDI,Turbo,Automatic,8.0,White,Metallic,Black
Acura,ILX 2.4L,2016,136397.0,Gasoline,2.4 Liter,F,Silver,Ebony.,0,0,14798.0,2.4,NA,310.0,NA,NA,Manual,6.0,Silver,Gloss,Ebony
Audi,S3 2.0T Premium Plus,2017,84000.0,Gasoline,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,0,1,31000.0,2.0,4 CYLINDER,292.0,NA,NA,Automatic,6.0,Blue,Gloss,Black
BMW,740 iL,2001,242000.0,Gasoline,282.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Green,0,1,7300.0,4.4,8 CYLINDER,282.0,NA,NA,Automatic,8.0,Green,Gloss,Green
Lexus,RC 350 F Sport,2021,23436.0,Gasoline,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,0,1,41927.0,3.5,V6,311.0,NA,NA,Automatic,6.0,Black,Gloss,Black
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608.0,Gasoline,V6,Automatic,Fuji White,Pimento / Ebony,0,0,73897.0,3.5,V6,300.0,NA,NA,Automatic,8.0,White,Gloss,Ebony
Aston,Martin DBS Superleggera,2019,22770.0,Gasoline,715.0HP 5.2L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,0,1,184606.0,5.2,12 CYLINDER,715.0,NA,NA,Automatic,8.0,Silver,Gloss,Black
Toyota,Supra 3.0 Premium,2021,12500.0,Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Yellow,Black,0,1,53500.0,3.0,STRAIGHT 6,382.0,NA,NA,Automatic,8.0,Yellow,Gloss,Black
Lincoln,Aviator Reserve AWD,2022,18196.0,Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,0,1,62000.0,3.0,V6,400.0,NA,NA,Manual,6.0,Black,Gloss,Brown
Jaguar,F-TYPE,2020,15903.0,Gasoline,2.0 Liter Supercharged,Automatic,Silver,Black,0,0,47998.0,2.0,NA,310.0,NA,Supercharged,Automatic,8.0,Silver,Gloss,Black
Land,Rover LR4 HSE,2013,79800.0,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,0,1,29990.0,5.0,8 CYLINDER,375.0,NA,NA,Automatic,8.0,White,Gloss,Black
Mercedes-Benz,Metris Base,2021,1685.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Gray,White,0,1,250000.0,2.0,I4,310.0,GDI,Turbo,Automatic,9.0,Gray,Gloss,White
Dodge,Challenger SXT,2013,61074.0,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,0,1,16800.0,3.6,V6,305.0,NA,NA,Automatic,8.0,Black,Gloss,Gray
Nissan,350Z Enthusiast,2003,74000.0,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Purple,–,0,1,11000.0,3.5,V6,287.0,NA,NA,Manual,6.0,Miscellaneous,Gloss,Miscellaneous
Jaguar,F-TYPE R,2018,35250.0,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,0,1,68750.0,5.0,8 CYLINDER,550.0,NA,NA,Automatic,8.0,Green,Gloss,Black
Genesis,GV70 3.5T Sport,2023,5400.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Beige,0,0,60000.0,3.5,V6,375.0,NA,NA,Automatic,8.0,Green,Gloss,Beige
Chevrolet,S-10 LS,2000,133510.0,E85 Flex Fuel,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,A/T,Blue,Black,0,1,4500.0,2.2,4 CYLINDER,120.0,NA,NA,Automatic,8.0,Blue,Gloss,Black
BMW,440 Gran Coupe 440i xDrive,2020,25990.0,Gasoline,3.0 Liter Turbo,Automatic,White,Beige,0,0,38598.0,3.0,NA,310.0,NA,Turbo,Automatic,8.0,White,Gloss,Beige
Ford,F-150 XLT,2023,2823.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Iconic Silver Metallic,Black,0,1,58504.0,3.5,V6,300.0,PDI,Twin Turbo,Automatic,8.0,Silver,Metallic,Black
Chevrolet,Suburban RST,2021,52000.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,0,1,61000.0,5.3,8 CYLINDER,355.0,NA,NA,Automatic,10.0,Blue,Gloss,Black
Hyundai,Elantra N Base,2022,11650.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,0,1,32300.0,2.0,4 CYLINDER,276.0,NA,NA,Manual,6.0,Black,Gloss,Black
Nissan,Sentra SR,2016,96541.0,Gasoline,1.8 Liter,Automatic,Blue,Black,0,0,13998.0,1.8,NA,310.0,NA,NA,Automatic,8.0,Blue,Gloss,Black
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500.0,Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,0,1,59995.0,2.0,4 CYLINDER,382.0,NA,NA,Automatic,8.0,Gray,Gloss,Black
BMW,650 Gran Coupe i xDrive,2015,69000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,0,1,25700.0,4.4,8 CYLINDER,445.0,NA,NA,Automatic,8.0,Gray,Gloss,Black
Audi,Q5 2.0T Premium Plus,2017,81880.0,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Mythos Black Metallic,Black,0,1,21375.0,2.0,I4,310.0,GDI,Turbo,Automatic,8.0,Black,Metallic,Black
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,0,1,48000.0,3.0,V6,362.0,NA,NA,Automatic,9.0,Silver,Gloss,Black
Dodge,Ram 1500 Laramie Mega Cab,2006,300183.0,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,1,1,10900.0,5.7,8 CYLINDER,345.0,NA,NA,Automatic,8.0,Silver,Gloss,Gray
